"","Strain Name","Virus Type","Subtype/Genotype (ViPR)","Subtype/Genotype (GenBank)","GenBank Accession","Sequence Length","Pango Genome Lineage","Collection Date","Host","GenBank Host","Country","Mol Type","seq_length","seq_coverage","cov_categories","Continent","Continent_Region"
"1","85-82H Ivory Coast","Yellow fever virus","West Africa Genotype I","-N/A-","U54798","10862","-N/A-","-N/A-","Unknown","-N/A-",NA,"genomic RNA",10862,1.0862,">90%",NA,NA
"2","17DD-Brazil","Yellow fever virus","West Africa Genotype II","-N/A-","DQ100292","10862","-N/A-","-N/A-","Unknown","-N/A-","Brazil","genomic RNA",10862,1.0862,">90%","South America","Brazil"
"3","Pasteur 17D-204 yellow fever vaccine","Yellow fever virus","West Africa Genotype II","-N/A-","X15062","10862","-N/A-","-N/A-","Unknown","-N/A-",NA,"genomic RNA",10862,1.0862,">90%",NA,NA
"4","vaccine strain 17DD","Yellow fever virus","West Africa Genotype II","-N/A-","U17066","10862","-N/A-","-N/A-","Unknown","-N/A-",NA,"genomic RNA",10862,1.0862,">90%",NA,NA
"5","17D-204-USA vaccine","Yellow fever virus","West Africa Genotype II","-N/A-","AF052438","10862","-N/A-","-N/A-","Unknown","-N/A-",NA,"genomic RNA",10862,1.0862,">90%",NA,NA
"6","patent WO2007093472_7","Yellow fever virus","West Africa Genotype II","-N/A-","CS805341","10862","-N/A-","-N/A-","Unknown","-N/A-",NA,"unassigned DNA",10862,1.0862,">90%",NA,NA
"7","17D-204-USA vaccine","Yellow fever virus","West Africa Genotype II","-N/A-","AF052437","10862","-N/A-","-N/A-","Unknown","-N/A-",NA,"genomic RNA",10862,1.0862,">90%",NA,NA
"8","17D-204-South Africa vaccine","Yellow fever virus","West Africa Genotype II","-N/A-","AF052444","10862","-N/A-","-N/A-","Unknown","-N/A-",NA,"genomic RNA",10862,1.0862,">90%",NA,NA
"9","French viscerotropic virus","Yellow fever virus","West Africa Genotype II","-N/A-","U21056","10862","-N/A-","-N/A-","Unknown","-N/A-",NA,"genomic RNA",10862,1.0862,">90%",NA,NA
"10","YF-AVD2791-93F/04","Yellow fever virus","West Africa Genotype II","-N/A-","DQ118157","10862","-N/A-","2004","Unknown","-N/A-","Spain","genomic RNA",10862,1.0862,">90%","Europe","Western Europe"
"11","Gambia 2001","Yellow fever virus","West Africa Genotype II","-N/A-","AY572535","10862","-N/A-","-N/A-","Unknown","-N/A-",NA,"genomic RNA",10862,1.0862,">90%",NA,NA
