"","Strain Name","Virus Type","Subtype/Genotype (ViPR)","Subtype/Genotype (GenBank)","GenBank Accession","Sequence Length","Pango Genome Lineage","Collection Date","Host","GenBank Host","Country","Mol Type","seq_length","seq_coverage","cov_categories","Continent","Continent_Region"
"1","Ivory Coast 1999","Yellow fever virus","West Africa Genotype II","-N/A-","AY603338","10862","-N/A-","-N/A-","Unknown","-N/A-","Ivory Coast","genomic RNA",10862,1.0862,">90%","Africa","Western Africa"
"2","Uganda48a","Yellow fever virus","East Africa Genotype","-N/A-","AY968065","10823","-N/A-","-N/A-","Human","Homo sapiens","Uganda","genomic RNA",10823,1.0823,">90%","Africa","Eastern Africa"
"3","Angola71","Yellow fever virus","Angola Genotype","-N/A-","AY968064","10823","-N/A-","-N/A-","Human","Homo sapiens","Angola","genomic RNA",10823,1.0823,">90%","Africa","Southern Africa"
"4","Couma","Yellow fever virus","East/Central African Genotype","-N/A-","DQ235229","10823","-N/A-","-N/A-","Unknown","-N/A-","Ethiopia","genomic RNA",10823,1.0823,">90%","Africa","Eastern Africa"
"5","A 709-4-A2","Yellow fever virus","East Africa Genotype","-N/A-","AF369694","670","-N/A-","-N/A-","Unknown","-N/A-","Uganda","mRNA",670,0.067,"0-50%","Africa","Eastern Africa"
"6","SSUD03-01","Yellow fever virus","East Africa Genotype","-N/A-","DQ068260","1479","-N/A-","-N/A-","Human","Homo sapiens","Sudan","genomic RNA",1479,0.1479,"0-50%","Africa","Eastern Africa"
"7","T. Adeoye","Yellow fever virus","West Africa Genotype I","-N/A-","AF369678","670","-N/A-","-N/A-","Unknown","-N/A-","Nigeria","mRNA",670,0.067,"0-50%","Africa","Western Africa"
"8","ArD93388","Yellow fever virus","West Africa Genotype II","-N/A-","AF369691","670","-N/A-","-N/A-","Unknown","-N/A-","Senegal","genomic DNA",670,0.067,"0-50%","Africa","Western Africa"
"9","ETH2777","Yellow fever virus",NA,"-N/A-","AY960147","719","-N/A-","1961","Human","Homo sapiens","Ethiopia","genomic RNA",719,0.0719,"0-50%","Africa","Eastern Africa"
"10","ArD76320/Senegal90","Yellow fever virus","West Africa Genotype II","-N/A-","AY839632","666","-N/A-","1990","Mosquito","mosquito","Senegal","genomic RNA",666,0.0666,"0-50%","Africa","Western Africa"
"11","Senegal/Ko/ArD114970/1995","Yellow fever virus","West Africa Genotype II","-N/A-","GU073161","1521","-N/A-","1995","Mosquito","Aedes aegypti","Senegal","genomic RNA",1521,0.1521,"0-50%","Africa","Western Africa"
"12","A. Jimo","Yellow fever virus","West Africa Genotype I","-N/A-","AF369679","670","-N/A-","-N/A-","Unknown","-N/A-","Nigeria","mRNA",670,0.067,"0-50%","Africa","Western Africa"
"13","ArB 17239","Yellow fever virus","East/Central African Genotype","-N/A-","AF369672","670","-N/A-","-N/A-","Unknown","-N/A-","Central African Republic","mRNA",670,0.067,"0-50%","Africa","Western Africa"
"14","Ara6734","Yellow fever virus",NA,"-N/A-","AY960148","763","-N/A-","1986","Mosquito","mosquito","Burkina Faso","genomic RNA",763,0.0763,"0-50%","Africa","Western Africa"
"15","ArA 20628","Yellow fever virus","West Africa Genotype II","-N/A-","AY960138","1813","-N/A-","1986","Mosquito","mosquito","Mali","genomic RNA",1813,0.1813,"0-50%","Africa","Western Africa"
"16","Ara6734","Yellow fever virus","West Africa Genotype I","-N/A-","AY960139","1813","-N/A-","1986","Mosquito","mosquito","Burkina Faso","genomic RNA",1813,0.1813,"0-50%","Africa","Western Africa"
"17","ArB28153","Yellow fever virus",NA,"-N/A-","AY960145","720","-N/A-","1991","Mosquito","mosquito","Central African Republic","genomic RNA",720,0.072,"0-50%","Africa","Western Africa"
