"","Strain Name","Virus Species","GenBank Accession","Sequence Length","Pango Genome Lineage","Collection Date","Host","GenBank Host","Country","Mol Type","Segment","Protein Name","seq_length","seq_coverage","cov_categories","Continent","Continent_Region"
"1","2018/MRT","Rift Valley fever phlebovirus","OK392020","821","-N/A-","2018","Mosquito","mosquito","Mauritania","genomic RNA","S","nonstructural protein",821,0.0684166666666667,"0-50%","Africa","Western Africa"
"2","2018/MRT","Rift Valley fever phlebovirus","OK415590","773","-N/A-","2018","Mosquito","mosquito","Mauritania","genomic RNA","S","nucleocapsid protein",773,0.0644166666666667,"0-50%","Africa","Western Africa"
"3","2018/MRT/1","Rift Valley fever phlebovirus","OK415591","1940","-N/A-","2018","Mosquito","mosquito","Mauritania","genomic RNA","L","polymerase",1940,0.161666666666667,"0-50%","Africa","Western Africa"
"4","2018/MRT/2","Rift Valley fever phlebovirus","OK415592","4410","-N/A-","2018","Mosquito","mosquito","Mauritania","genomic RNA","L","NL",4410,0.3675,"0-50%","Africa","Western Africa"
"5","2018/MRT/1","Rift Valley fever phlebovirus","OK415593","461","-N/A-","2018","Mosquito","mosquito","Mauritania","genomic RNA","M","glycoprotein",461,0.0384166666666667,"0-50%","Africa","Western Africa"
"6","2018/MRT/2","Rift Valley fever phlebovirus","OK415594","200","-N/A-","2018","Mosquito","mosquito","Mauritania","genomic RNA","M","glycoprotein",200,0.0166666666666667,"0-50%","Africa","Western Africa"
"7","2018/MRT/3","Rift Valley fever phlebovirus","OK415595","2066","-N/A-","2018","Mosquito","mosquito","Mauritania","genomic RNA","M","glycoprotein",2066,0.172166666666667,"0-50%","Africa","Western Africa"
"8","2018/MRT/4","Rift Valley fever phlebovirus","OK415596","232","-N/A-","2018","Mosquito","mosquito","Mauritania","genomic RNA","M","NL",232,0.0193333333333333,"0-50%","Africa","Western Africa"
"9","56/74_4255","Rift Valley fever phlebovirus","OM744400","6404","-N/A-","1974","Cattle","cow","South Africa","genomic RNA","L","polymerase",6404,0.533666666666667,"50-90%","Africa","Southern Africa"
"10","56/74_4255","Rift Valley fever phlebovirus","OM744401","3885","-N/A-","1974","Cattle","cow","South Africa","genomic RNA","M","glycoprotein",3885,0.32375,"0-50%","Africa","Southern Africa"
"11","56/74_4255","Rift Valley fever phlebovirus","OM744402","1691","-N/A-","1974","Cattle","cow","South Africa","genomic RNA","S","nonstructural protein, nucleocapsid",1691,0.140916666666667,"0-50%","Africa","Southern Africa"
"12","DVS-230","Rift Valley fever phlebovirus","OM744365","3882","-N/A-","07/15/2021","Cattle","Bos taurus","Kenya","genomic RNA","M","glycoprotein",3882,0.3235,"0-50%","Africa","Eastern Africa"
"13","DVS-321","Rift Valley fever phlebovirus","OM744366","3884","-N/A-","07/15/2021","Cattle","Bos taurus","Kenya","genomic RNA","M","glycoprotein",3884,0.323666666666667,"0-50%","Africa","Eastern Africa"
"14","DVS-333","Rift Valley fever phlebovirus","OM744367","3879","-N/A-","07/15/2021","Cattle","Bos taurus","Kenya","genomic RNA","M","glycoprotein",3879,0.32325,"0-50%","Africa","Eastern Africa"
"15","DVS-356","Rift Valley fever phlebovirus","OM744368","3874","-N/A-","07/15/2021","Cattle","Bos taurus","Kenya","genomic RNA","M","glycoprotein",3874,0.322833333333333,"0-50%","Africa","Eastern Africa"
"16","DVS-372","Rift Valley fever phlebovirus","OM744369","3881","-N/A-","07/15/2021","Cattle","Bos taurus","Kenya","genomic RNA","M","glycoprotein",3881,0.323416666666667,"0-50%","Africa","Eastern Africa"
"17","DVS-230","Rift Valley fever phlebovirus","OM744370","1689","-N/A-","07/15/2021","Cattle","Bos taurus","Kenya","genomic RNA","S","nonstructural protein, nucleocapsid",1689,0.14075,"0-50%","Africa","Eastern Africa"
"18","DVS-321","Rift Valley fever phlebovirus","OM744371","1690","-N/A-","07/15/2021","Cattle","Bos taurus","Kenya","genomic RNA","S","nonstructural protein, nucleocapsid",1690,0.140833333333333,"0-50%","Africa","Eastern Africa"
"19","DVS-333","Rift Valley fever phlebovirus","OM744372","1689","-N/A-","07/15/2021","Cattle","Bos taurus","Kenya","genomic RNA","S","nonstructural protein, nucleocapsid",1689,0.14075,"0-50%","Africa","Eastern Africa"
"20","DVS-356","Rift Valley fever phlebovirus","OM744373","1689","-N/A-","07/15/2021","Cattle","Bos taurus","Kenya","genomic RNA","S","nonstructural protein, nucleocapsid",1689,0.14075,"0-50%","Africa","Eastern Africa"
"21","DVS-372","Rift Valley fever phlebovirus","OM744374","1690","-N/A-","07/15/2021","Cattle","Bos taurus","Kenya","genomic RNA","S","nonstructural protein, nucleocapsid",1690,0.140833333333333,"0-50%","Africa","Eastern Africa"
"22","DVS-230","Rift Valley fever phlebovirus","OM744375","6397","-N/A-","07/15/2021","Cattle","Bos taurus","Kenya","genomic RNA","L","polymerase",6397,0.533083333333333,"50-90%","Africa","Eastern Africa"
"23","DVS-321","Rift Valley fever phlebovirus","OM744376","6399","-N/A-","07/15/2021","Cattle","Bos taurus","Kenya","genomic RNA","L","polymerase",6399,0.53325,"50-90%","Africa","Eastern Africa"
"24","DVS-333","Rift Valley fever phlebovirus","OM744377","6397","-N/A-","07/15/2021","Cattle","Bos taurus","Kenya","genomic RNA","L","polymerase",6397,0.533083333333333,"50-90%","Africa","Eastern Africa"
"25","DVS-356","Rift Valley fever phlebovirus","OM744378","6396","-N/A-","07/15/2021","Cattle","Bos taurus","Kenya","genomic RNA","L","polymerase",6396,0.533,"50-90%","Africa","Eastern Africa"
"26","DVS-372","Rift Valley fever phlebovirus","OM744379","6400","-N/A-","07/15/2021","Cattle","Bos taurus","Kenya","genomic RNA","L","polymerase",6400,0.533333333333333,"50-90%","Africa","Eastern Africa"
"27","Namibia_2010","Rift Valley fever phlebovirus","MT561459","1690","-N/A-","07/30/2010","Sheep","ovine","Namibia","genomic RNA","S","nonstructural protein, nucleocapsid",1690,0.140833333333333,"0-50%","Africa","Southern Africa"
"28","Namibia_2011","Rift Valley fever phlebovirus","MT561462","1690","-N/A-","07/30/2011","Antelope","springbok","Namibia","genomic RNA","S","nonstructural protein, nucleocapsid",1690,0.140833333333333,"0-50%","Africa","Southern Africa"
"29","Namibia_2010","Rift Valley fever phlebovirus","MT561460","3885","-N/A-","07/30/2010","Sheep","ovine","Namibia","genomic RNA","M","glycoprotein",3885,0.32375,"0-50%","Africa","Southern Africa"
"30","Namibia_2011","Rift Valley fever phlebovirus","MT561463","3830","-N/A-","07/30/2011","Antelope","springbok","Namibia","genomic RNA","M","glycoprotein",3830,0.319166666666667,"0-50%","Africa","Southern Africa"
"31","Namibia_2010","Rift Valley fever phlebovirus","MT561461","6404","-N/A-","07/30/2010","Sheep","ovine","Namibia","genomic RNA","L","polymerase",6404,0.533666666666667,"50-90%","Africa","Southern Africa"
"32","Namibia_2011","Rift Valley fever phlebovirus","MT561464","6345","-N/A-","07/30/2011","Antelope","springbok","Namibia","genomic RNA","L","polymerase",6345,0.52875,"50-90%","Africa","Southern Africa"
"33","46A-66","Rift Valley fever phlebovirus","MW567931","6403","-N/A-","2007","Mosquito","Aedes pembaensis","Kenya","genomic RNA","L","RNA-dependent RNA polymerase",6403,0.533583333333333,"50-90%","Africa","Eastern Africa"
"34","KLF 019","Rift Valley fever phlebovirus","MW567934","6404","-N/A-","2007","Mosquito","Aedes pembaensis","Kenya","genomic RNA","L","RNA-dependent RNA polymerase",6404,0.533666666666667,"50-90%","Africa","Eastern Africa"
"35","46A-66","Rift Valley fever phlebovirus","MW567932","3594","-N/A-","2007","Mosquito","Aedes mcintoshi","Kenya","genomic RNA","M","glycoprotein",3594,0.2995,"0-50%","Africa","Eastern Africa"
"36","KLF 019","Rift Valley fever phlebovirus","MW567935","3480","-N/A-","2007","Mosquito","Aedes pembaensis","Kenya","genomic RNA","M","glycoprotein",3480,0.29,"0-50%","Africa","Eastern Africa"
"37","46A-66","Rift Valley fever phlebovirus","MW567933","798","-N/A-","2007","Mosquito","Aedes mcintoshi","Kenya","genomic RNA","S","nonstructural protein",798,0.0665,"0-50%","Africa","Eastern Africa"
"38","KLF 019","Rift Valley fever phlebovirus","MW567936","798","-N/A-","2007","Mosquito","Aedes pembaensis","Kenya","genomic RNA","S","nonstructural protein",798,0.0665,"0-50%","Africa","Eastern Africa"
"39","RV2655","Rift Valley fever phlebovirus","MW316062","221","-N/A-","2018","Alpaca","alpacas","South Africa","genomic RNA","S","nucleocapsid protein",221,0.0184166666666667,"0-50%","Africa","Southern Africa"
