"","Strain Name","Virus Type","Subtype/Genotype (ViPR)","GenBank Accession","Sequence Length","Pango Genome Lineage","Collection Date","Host","GenBank Host","Country","Mol Type","seq_length","seq_coverage","cov_categories","days","date","date2","date4","date5","Continent","Continent_Region"
"1","H241","Dengue virus 4",NA,"KR011349","10664","-N/A-",1956-08-28,"Human","Homo sapiens","Philippines","genomic RNA",10664,0.969454545454545,">90%",1956-08-28,1956-08-26,1956-08-19,1956-08-19,1956-01-01,"Asia","Southeastern Asia"
"2","IBH11234","Dengue virus 2","2-sylvatic","EU003591","10501","-N/A-",1966-08-18,"Unknown","-N/A-","Nigeria","genomic RNA",10501,0.954636363636364,">90%",1966-08-18,1966-08-14,1966-08-07,1966-08-07,1966-01-01,"Africa","Western Africa"
"3","H402276","Dengue virus 4","4-II","JN559740","10604","-N/A-",1982-03-26,"Human","Homo sapiens","Brazil","genomic RNA",10604,0.964,">90%",1982-03-26,1982-03-21,1982-03-14,1982-02-28,1982-01-01,"South America","Brazil"
"4","TC861HA","Dengue virus 1",NA,"MF576311","10709","-N/A-",1986-10-06,"Unknown","-N/A-",NA,"genomic RNA",10709,0.973545454545454,">90%",1986-10-06,1986-10-05,1986-10-05,1986-10-05,1986-01-01,NA,NA
"5","NC89/060289-283","Dengue virus 3","3-I","JQ920481","10671","-N/A-",1989-02-06,"Human","Homo sapiens","New Caledonia","genomic RNA",10671,0.970090909090909,">90%",1989-02-06,1989-02-05,1989-02-05,1989-01-22,1989-01-01,"Australia","Oceania"
"6","WF89/140889-4838","Dengue virus 3","3-I","JQ920487","10671","-N/A-",1989-08-14,"Human","Homo sapiens","Wallis and Futuna","genomic RNA",10671,0.970090909090909,">90%",1989-08-14,1989-08-13,1989-08-06,1989-08-06,1989-01-01,"Australia","Oceania"
"7","LKP1990","Dengue virus 3","3-III","MT955341","6953","-N/A-",1990-01-01,"Human","Homo sapiens","Sweden","genomic RNA",6953,0.632090909090909,"50-90%",1990-01-01,1989-12-31,1989-12-24,1989-12-24,1990-01-01,"Europe","Western Europe"
"8","KAJP30_DENV1_Thailand_South.East.Asia_1990-05- 23","Dengue virus 1",NA,"MZ857224","10179","-N/A-",1990-05-23,"Human","Homo sapiens","Thailand","genomic RNA",10179,0.925363636363636,">90%",1990-05-23,1990-05-20,1990-05-13,1990-05-13,1990-01-01,"Asia","Southeastern Asia"
"9","D4/PR/107/NOV-1990","Dengue virus 4","4-II","GU318310","10499","-N/A-",1990-11-01,"Unknown","-N/A-",NA,"genomic RNA",10499,0.954454545454545,">90%",1990-11-01,1990-10-28,1990-10-28,1990-10-28,1990-01-01,NA,NA
"10","D4/PR/96/DEC-1990","Dengue virus 4","4-II","GU318308","10500","-N/A-",1990-12-01,"Unknown","-N/A-",NA,"genomic RNA",10500,0.954545454545455,">90%",1990-12-01,1990-11-25,1990-11-25,1990-11-25,1990-01-01,NA,NA
"11","D4/PR/93/DEC-1990","Dengue virus 4","4-II","GU318306","10500","-N/A-",1990-12-01,"Unknown","-N/A-",NA,"genomic RNA",10500,0.954545454545455,">90%",1990-12-01,1990-11-25,1990-11-25,1990-11-25,1990-01-01,NA,NA
"12","D4/PR/94/DEC-1990","Dengue virus 4","4-II","GU318307","10500","-N/A-",1990-12-01,"Unknown","-N/A-",NA,"genomic RNA",10500,0.954545454545455,">90%",1990-12-01,1990-11-25,1990-11-25,1990-11-25,1990-01-01,NA,NA
"13","D4/PR/97/JAN-1991","Dengue virus 4","4-II","GU318309","10500","-N/A-",1991-01-01,"Unknown","-N/A-",NA,"genomic RNA",10500,0.954545454545455,">90%",1991-01-01,1990-12-30,1990-12-23,1990-12-23,1991-01-01,NA,NA
"14","KAJP32_DENV3_Thailand_South.East.Asia_1991-05- 21","Dengue virus 3","3-II","MZ857225","10171","-N/A-",1991-05-21,"Human","Homo sapiens","Thailand","genomic RNA",10171,0.924636363636364,">90%",1991-05-21,1991-05-19,1991-05-12,1991-05-12,1991-01-01,"Asia","Southeastern Asia"
"15","PF91/090891-22130","Dengue virus 3","3-I","JQ920476","10671","-N/A-",1991-08-09,"Human","Homo sapiens","French Polynesia","genomic RNA",10671,0.970090909090909,">90%",1991-08-09,1991-08-04,1991-08-04,1991-08-04,1991-01-01,"Australia","Oceania"
"16","KAJP33_DENV3_Thailand_South.East.Asia_1991-9-17","Dengue virus 3","3-II","MZ857226","10171","-N/A-",1991-09-17,"Human","Homo sapiens","Thailand","genomic RNA",10171,0.924636363636364,">90%",1991-09-17,1991-09-15,1991-09-15,1991-09-01,1991-01-01,"Asia","Southeastern Asia"
"17","KAJP34_DENV1_Thailand_South.East.Asia_1992-02- 12","Dengue virus 1",NA,"MZ857227","10179","-N/A-",1992-02-12,"Human","Homo sapiens","Thailand","genomic RNA",10179,0.925363636363636,">90%",1992-02-12,1992-02-09,1992-02-02,1992-01-19,1992-01-01,"Asia","Southeastern Asia"
"18","FGU-Feb-93","Dengue virus 2","2_AsianAmerican","EU920828","10663","-N/A-",1993-02-01,"Unknown","-N/A-","French Guiana","genomic RNA",10663,0.969363636363636,">90%",1993-02-01,1993-01-31,1993-01-31,1993-01-17,1993-01-01,NA,NA
"19","PF93/200493-110185","Dengue virus 3","3-I","JQ920477","10671","-N/A-",1993-04-20,"Human","Homo sapiens","French Polynesia","genomic RNA",10671,0.970090909090909,">90%",1993-04-20,1993-04-18,1993-04-11,1993-04-11,1993-01-01,"Australia","Oceania"
"20","NC95/240295-418","Dengue virus 3","3-I","JQ920482","10671","-N/A-",1995-02-24,"Human","Homo sapiens","New Caledonia","genomic RNA",10671,0.970090909090909,">90%",1995-02-24,1995-02-19,1995-02-12,1995-02-12,1995-01-01,"Australia","Oceania"
"21","WF95/050495-1650","Dengue virus 3","3-I","JQ920488","10671","-N/A-",1995-04-05,"Human","Homo sapiens","Wallis and Futuna","genomic RNA",10671,0.970090909090909,">90%",1995-04-05,1995-04-02,1995-03-26,1995-03-12,1995-01-01,"Australia","Oceania"
"22","WF95/090595-2448","Dengue virus 3","3-I","JQ920489","10671","-N/A-",1995-05-09,"Human","Homo sapiens","Wallis and Futuna","genomic RNA",10671,0.970090909090909,">90%",1995-05-09,1995-05-07,1995-05-07,1995-05-07,1995-01-01,"Australia","Oceania"
"23","PF95/190795-20064","Dengue virus 3","3-I","JQ920478","10671","-N/A-",1995-07-19,"Human","Homo sapiens","French Polynesia","genomic RNA",10671,0.970090909090909,">90%",1995-07-19,1995-07-16,1995-07-16,1995-07-02,1995-01-01,"Australia","Oceania"
"24","NC95/170895-3750","Dengue virus 3","3-I","JQ920483","10671","-N/A-",1995-08-17,"Human","Homo sapiens","New Caledonia","genomic RNA",10671,0.970090909090909,">90%",1995-08-17,1995-08-13,1995-08-13,1995-07-30,1995-01-01,"Australia","Oceania"
"25","D2/Taiwan/407TC9509a","Dengue virus 2","2-AsianAmerican","KY670633","10638","-N/A-",1995-09-01,"Human","Homo sapiens","Taiwan","genomic RNA",10638,0.967090909090909,">90%",1995-09-01,1995-08-27,1995-08-27,1995-08-27,1995-01-01,"Asia","China+"
"26","NC95/271295-4197","Dengue virus 3","3-I","JQ920484","10671","-N/A-",1995-12-27,"Human","Homo sapiens","New Caledonia","genomic RNA",10671,0.970090909090909,">90%",1995-12-27,1995-12-24,1995-12-17,1995-12-17,1995-01-01,"Australia","Oceania"
"27","PF96/150296-46183","Dengue virus 3","3-I","JQ920479","10671","-N/A-",1996-02-15,"Human","Homo sapiens","French Polynesia","genomic RNA",10671,0.970090909090909,">90%",1996-02-15,1996-02-11,1996-02-11,1996-02-11,1996-01-01,"Australia","Oceania"
"28","PF96/040996-24881","Dengue virus 3","3-I","JQ920480","10671","-N/A-",1996-09-04,"Human","Homo sapiens","French Polynesia","genomic RNA",10671,0.970090909090909,">90%",1996-09-04,1996-09-01,1996-08-25,1996-08-25,1996-01-01,"Australia","Oceania"
"29","NC96/211096-4631","Dengue virus 3","3-I","JQ920485","10663","-N/A-",1996-10-21,"Human","Homo sapiens","New Caledonia","genomic RNA",10663,0.969363636363636,">90%",1996-10-21,1996-10-20,1996-10-20,1996-10-20,1996-01-01,"Australia","Oceania"
"30","NC96/181196-4690","Dengue virus 3","3-I","JQ920486","10671","-N/A-",1996-11-18,"Human","Homo sapiens","New Caledonia","genomic RNA",10671,0.970090909090909,">90%",1996-11-18,1996-11-17,1996-11-17,1996-11-17,1996-01-01,"Australia","Oceania"
"31","BR DEN3 97-04","Dengue virus 3","3-III","EF629367","10707","-N/A-",1997-04-01,"Unknown","-N/A-","Brazil","genomic RNA",10707,0.973363636363636,">90%",1997-04-01,1997-03-30,1997-03-23,1997-03-09,1997-01-01,"South America","Brazil"
