"","Strain Name","Virus Type","Subtype/Genotype (ViPR)","GenBank Accession","Sequence Length","Pango Genome Lineage","Collection Date","Host","GenBank Host","Country","Mol Type","seq_length","seq_coverage","cov_categories","days","date","date2","date4","date5","Continent","Continent_Region"
"1","Zika virus/M.mulatta-tc/UGA/1947/MR-766","Zika virus","East_African","KU955594","10795","-N/A-",1947-04-01,"Monkey","Macaca mulatta","Uganda","genomic RNA",10795,0.981363636363636,">90%",1947-04-01,1947-03-30,1947-03-23,1947-03-23,1947-01-01,"Africa","Eastern Africa"
"2","MR-766","Zika virus","East_African","KX377335","10807","-N/A-",1947-04-01,"Monkey","Macaca mulatta (monkey)","Uganda","genomic RNA",10807,0.982454545454545,">90%",1947-04-01,1947-03-30,1947-03-23,1947-03-23,1947-01-01,"Africa","Eastern Africa"
"3","ZIKV/Macaca mulatta/UGA/MR-766/1947","Zika virus","East_African","KX601169","10648","-N/A-",1947-04-20,"Monkey","Macaca mulatta","Uganda","genomic RNA",10648,0.968,">90%",1947-04-20,1947-04-20,1947-04-20,1947-04-20,1947-01-01,"Africa","Eastern Africa"
"4","ZIKV/Macaca mulatta/UGA/MR-766_SM150-V8/1947","Zika virus","East_African","KU963573","10787","-N/A-",1947-04-20,"Monkey","Macaca mulatta","Uganda","genomic RNA",10787,0.980636363636364,">90%",1947-04-20,1947-04-20,1947-04-20,1947-04-20,1947-01-01,"Africa","Eastern Africa"
"5","MP1751","Zika virus","East_African","KY288905","10752","-N/A-",1962-11-01,"Mosquito","Aedes africanus","Uganda","genomic RNA",10752,0.977454545454545,">90%",1962-11-01,1962-10-28,1962-10-28,1962-10-14,1962-01-01,"Africa","Eastern Africa"
"6","P6-740","Zika virus","Asian","KX377336","10807","-N/A-",1966-07-01,"Mosquito","Aedes aegypti (mosquito)","Malaysia","genomic RNA",10807,0.982454545454545,">90%",1966-07-01,1966-06-26,1966-06-19,1966-06-19,1966-01-01,"Asia","Southeastern Asia"
"7","ZIKV/Aedes sp./MYS/P6-740/1966","Zika virus","Asian","KX601167","10744","-N/A-",1966-07-14,"Mosquito","Aedes sp.","Malaysia","genomic RNA",10744,0.976727272727273,">90%",1966-07-14,1966-07-10,1966-07-03,1966-06-19,1966-01-01,"Asia","Southeastern Asia"
"8","ZIKV/Aedes aegypti/MYS/P6-740/1966","Zika virus","Asian","KX694533","10779","-N/A-",1966-07-14,"Mosquito","Aedes sp.","Malaysia","genomic RNA",10779,0.979909090909091,">90%",1966-07-14,1966-07-10,1966-07-03,1966-06-19,1966-01-01,"Asia","Southeastern Asia"
"9","ZIKV/Homo sapiens/NGA/IbH-30656_SM21V1-V3/1968","Zika virus","West_African","KU963574","10775","-N/A-",1968-09-09,"Human","Homo sapiens","Nigeria","genomic RNA",10775,0.979545454545454,">90%",1968-09-09,1968-09-08,1968-09-08,1968-09-08,1968-01-01,"Africa","Western Africa"
"10","Zika virus/Aedes taylori/Senegal/1984/DakAr41667","Zika virus","West_African","MF510857","10802","-N/A-",1984-06-12,"Mosquito","Aedes taylori","Senegal","genomic RNA",10802,0.982,">90%",1984-06-12,1984-06-10,1984-06-10,1984-05-27,1984-01-01,"Africa","Western Africa"
"11","ZIKV/Aedes africanus/SEN/DAK-AR-41524_A1C1-V2/1984","Zika virus","West_African","KX198134","11119","-N/A-",1984-11-17,"Mosquito","Aedes africanus","Senegal","genomic RNA",11119,1.01081818181818,">90%",1984-11-17,1984-11-11,1984-11-11,1984-11-11,1984-01-01,"Africa","Western Africa"
"12","ZIKV/Aedes africanus/SEN/DAK-AR-41524_A1C1-V5/1984","Zika virus","West_African","KY348860","10657","-N/A-",1984-11-17,"Mosquito","Aedes africanus","Senegal","genomic RNA",10657,0.968818181818182,">90%",1984-11-17,1984-11-11,1984-11-11,1984-11-11,1984-01-01,"Africa","Western Africa"
"13","ZIKV/Aedes africanus/SEN/DakAr41524/1984","Zika virus","West_African","KX601166","10771","-N/A-",1984-11-17,"Mosquito","Aedes africanus","Senegal","genomic RNA",10771,0.979181818181818,">90%",1984-11-17,1984-11-11,1984-11-11,1984-11-11,1984-01-01,"Africa","Western Africa"
"14","Zika virus/A.africanus-tc/SEN/1984/41525-DAK","Zika virus","West_African","KU955591","10806","-N/A-",1984-11-20,"Mosquito","Aedes africanus","Senegal","genomic RNA",10806,0.982363636363636,">90%",1984-11-20,1984-11-18,1984-11-11,1984-11-11,1984-01-01,"Africa","Western Africa"
"15","Zika virus/A.taylori-tc/SEN/1984/41662-DAK","Zika virus","West_African","KU955592","10806","-N/A-",1984-12-06,"Mosquito","Aedes taylori","Senegal","genomic RNA",10806,0.982363636363636,">90%",1984-12-06,1984-12-02,1984-11-25,1984-11-11,1984-01-01,"Africa","Western Africa"
"16","Zika virus/A.taylori-tc/SEN/1984/41671-DAK","Zika virus","West_African","KU955595","10806","-N/A-",1984-12-14,"Mosquito","Aedes taylori","Senegal","genomic RNA",10806,0.982363636363636,">90%",1984-12-14,1984-12-09,1984-12-09,1984-12-09,1984-01-01,"Africa","Western Africa"
"17","Zika virus/H.sapiens-tc/THA/2006/CVD_06-020","Zika virus","Asian","MW015936","10807","-N/A-",2006-08-11,"Human","Homo sapiens","Thailand","genomic RNA",10807,0.982454545454545,">90%",2006-08-11,2006-08-06,2006-08-06,2006-07-23,2006-01-01,"Asia","Southeastern Asia"
"18","NS1-101","Zika virus","Asian","OP281680","10807","-N/A-",2006-08-11,"Human","Homo sapiens","Thailand","genomic RNA",10807,0.982454545454545,">90%",2006-08-11,2006-08-06,2006-08-06,2006-07-23,2006-01-01,"Asia","Southeastern Asia"
"19","NS-110/2006","Zika virus",NA,"MT377504","10603","-N/A-",2006-09-06,"Human","Homo sapiens","Thailand","genomic RNA",10603,0.963909090909091,">90%",2006-09-06,2006-09-03,2006-09-03,2006-08-20,2006-01-01,"Asia","Southeastern Asia"
"20","CVD_06-274","Zika virus","Asian","MG645981","10623","-N/A-",2006-10-28,"Human","Homo sapiens","Thailand","genomic RNA",10623,0.965727272727273,">90%",2006-10-28,2006-10-22,2006-10-15,2006-10-15,2006-01-01,"Asia","Southeastern Asia"
"21","NS-274/2006","Zika virus",NA,"MT377502","10770","-N/A-",2006-10-28,"Human","Homo sapiens","Thailand","genomic RNA",10770,0.979090909090909,">90%",2006-10-28,2006-10-22,2006-10-15,2006-10-15,2006-01-01,"Asia","Southeastern Asia"
"22","FSM","Zika virus","Asian","EU545988","10272","-N/A-",2007-06-01,"Human","Homo sapiens","Federated States of Micronesia","genomic RNA",10272,0.933818181818182,">90%",2007-06-01,2007-05-27,2007-05-27,2007-05-27,2007-01-01,"Australia","Oceania"
"23","Zika virus/H.sapiens-tc/PHL/2012/CPC-0740","Zika virus","Asian","KU681082","10807","-N/A-",2012-05-09,"Human","Homo sapiens","Philippines","genomic RNA",10807,0.982454545454545,">90%",2012-05-09,2012-05-06,2012-05-06,2012-04-22,2012-01-01,"Asia","Southeastern Asia"
"24","ZIKV/Homo sapiens/THA/PLCal_ZV/2013","Zika virus","Asian","KX694532","10776","-N/A-",2013-02-12,"Human","Homo sapiens; female","Thailand","genomic RNA",10776,0.979636363636364,">90%",2013-02-12,2013-02-10,2013-02-10,2013-01-27,2013-01-01,"Asia","Southeastern Asia"
"25","PLCal_ZV","Zika virus","Asian","KF993678","10141","-N/A-",2013-02-19,"Human","Homo sapiens","Canada","genomic RNA",10141,0.921909090909091,">90%",2013-02-19,2013-02-17,2013-02-10,2013-01-27,2013-01-01,"North America","Canada"
"26","SK364/13AS","Zika virus","Asian","KX051560","10795","-N/A-",2013-07-09,"Human","Homo sapiens","Thailand","genomic RNA",10795,0.981363636363636,">90%",2013-07-09,2013-07-07,2013-06-30,2013-06-16,2013-01-01,"Asia","Southeastern Asia"
"27","SK403/13AS","Zika virus","Asian","KX051561","10798","-N/A-",2013-09-21,"Human","Homo sapiens","Thailand","genomic RNA",10798,0.981636363636364,">90%",2013-09-21,2013-09-15,2013-09-08,2013-09-08,2013-01-01,"Asia","Southeastern Asia"
"28","PF13/251013-18","Zika virus","Asian","KX369547","10769","-N/A-",2013-10-25,"Human","Homo sapiens","French Polynesia","genomic RNA",10769,0.979,">90%",2013-10-25,2013-10-20,2013-10-20,2013-10-06,2013-01-01,"Australia","Oceania"
